data,giorno,Casi totali,Guariti,Morti,Attivi,Aumento totali,Aumento guariti,Aumento morti,Aumento attivi,lombardia_totali,lombardia_guariti,lombardia_morti,lombardia_attivi
25/02/20,1,322,1,10,311,0,0,0,0,240,1,10,229
26/02/20,2,400,3,12,385,24.22,200,20,23.79,258,3,12,243
27/02/20,3,650,42,17,591,62.5,1300,41.67,53.51,403,42,17,344
28/02/20,4,888,45,21,822,36.62,7.14,23.53,39.09,531,45,21,465
29/02/20,5,1128,46,29,1053,27.03,2.22,38.1,28.1,615,46,29,540
01/03/20,6,1694,50,34,1610,50.18,8.7,17.24,52.9,984,50,34,900
02/03/20,7,2036,83,52,1901,20.19,66,52.94,18.07,1254,83,52,1119
03/03/20,8,2502,149,79,2274,22.89,79.52,51.92,19.62,1520,149,79,1292
04/03/20,9,3089,160,107,2822,23.46,7.38,35.44,24.1,1820,160,107,1553
05/03/20,10,3858,276,148,3434,24.89,72.5,38.32,21.69,2251,276,148,1827
06/03/20,11,4636,414,197,4025,20.17,50,33.11,17.21,2612,414,197,2001
07/03/20,12,5883,523,233,5127,26.9,26.33,18.27,27.38,3420,523,233,2664
08/03/20,13,7375,622,366,6387,25.36,18.93,57.08,24.58,4189,550,267,3372
09/03/20,14,9172,724,463,7985,24.37,16.4,26.5,25.02,5469,646,333,4490
10/03/20,15,10149,1004,631,8514,10.65,38.67,36.29,6.62,5791,896,468,4427
11/03/20,16,12462,1045,827,10590,22.79,4.08,31.06,24.38,7280,900,617,5763
12/03/20,17,15113,1258,1016,12839,21.27,20.38,22.85,21.24,8725,1085,744,6896
13/03/20,18,17660,1439,1266,14955,16.85,14.39,24.61,16.48,9820,1198,890,7732
14/03/20,19,21157,1966,1441,17750,19.8,36.62,13.82,18.69,11685,1660,966,9059
15/03/20,20,24747,2335,1809,20603,16.97,18.77,25.54,16.07,13272,2011,1218,10043
16/03/20,21,27980,2749,2158,23073,13.06,17.73,19.29,11.99,14649,2368,1420,10861
17/03/20,22,31506,2941,2503,26062,12.6,6.98,15.99,12.95,16220,2485,1640,12095
18/03/20,23,35713,4025,2978,28710,13.35,36.86,18.98,10.16,17713,3488,1959,12266
19/03/20,24,41035,4440,3405,33190,14.9,10.31,14.34,15.6,19884,3778,2168,13938
20/03/20,25,47021,5129,4032,37860,14.59,15.52,18.41,14.07,22264,4295,2549,15420
21/03/20,26,53578,6072,4825,42681,13.94,18.39,19.67,12.73,25515,5050,3095,17370
22/03/20,27,59137,7024,5475,46638,10.38,15.68,13.47,9.27,27206,5865,3456,17885
23/03/20,28,63927,7432,6077,50418,8.1,5.81,11,8.1,28761,6075,3776,18910
24/03/20,29,69176,8326,6820,54030,8.21,12.03,12.23,7.16,30703,6657,4178,19868
25/03/20,30,74386,9362,7503,57521,7.53,12.44,10.01,6.46,32346,7281,4474,20591
26/03/20,31,80539,10361,8165,62013,8.27,10.67,8.82,7.81,34889,7839,4861,22189
27/03/20,32,86498,10950,9134,66414,7.4,5.68,11.87,7.1,37298,8001,5402,23895
28/03/20,33,92472,12384,10023,70065,6.91,13.1,9.73,5.5,39415,8962,5944,24509
29/03/20,34,97689,13030,10779,73880,5.64,5.22,7.54,5.44,41007,9255,6360,25392
30/03/20,35,101739,14620,11591,75528,4.15,12.2,7.53,2.23,42161,10337,6818,25006
31/03/20,36,105792,15729,12428,77635,3.98,7.59,7.22,2.79,43208,10885,7199,25124
01/04/20,37,110574,16847,13155,80572,4.52,7.11,5.85,3.78,44773,11415,7593,25765
02/04/20,38,115242,18278,13915,83049,4.22,8.49,5.78,3.07,46065,12229,7960,25876
03/04/20,39,119827,19758,14681,85388,3.98,8.1,5.5,2.82,47520,13020,8311,26189
04/04/20,40,124632,20996,15362,88274,4.01,6.27,4.64,3.38,49118,13242,8656,27220
05/04/20,41,128948,21815,15887,91246,3.46,3.9,3.42,3.37,50445,13426,8905,28114
06/04/20,42,132547,22837,16523,93187,2.79,4.68,4,2.13,51534,13863,9202,28469
07/04/20,43,135586,24392,17127,94067,2.29,6.81,3.66,0.94,52325,14498,9484,28343
08/04/20,44,139422,26491,17669,95262,2.83,8.61,3.16,1.27,53414,15147,9722,28545
09/04/20,45,143626,28399,18279,96877,3.02,7.2,3.45,1.7,54802,15706,10022,29074
10/04/20,46,147577,30455,18849,98273,2.75,7.24,3.12,1.44,56048,16280,10238,29530
11/04/20,47,152271,32534,19468,100269,3.18,6.83,3.28,2.03,57592,16823,10511,30258
12/04/20,48,156363,34211,19899,102253,2.69,5.15,2.21,1.98,59052,17166,10621,31265
13/04/20,49,159516,35435,20465,103616,2.02,3.58,2.84,1.33,60314,17478,10901,31935
14/04/20,50,162488,37130,21067,104291,1.86,4.78,2.94,0.65,61326,17821,11142,32363
